n,k,upper,lower,match,ell,m,minimizer,candidates
11,3,176871,176871,1,5,6,"{""a"": 5, ""b"": 6, ""case"": ""bipartite"", ""d"": 1, ""gap"": 276, ""isolated"": 0, ""period_bound"": 6, ""proper_colorings"": 282}",51
11,4,4179298,4179298,1,5,6,"{""a"": 5, ""b"": 6, ""case"": ""bipartite"", ""d"": 1, ""gap"": 15006, ""isolated"": 0, ""period_bound"": 30, ""proper_colorings"": 15036}",51
11,5,48491775,48491775,1,5,6,"{""a"": 5, ""b"": 6, ""case"": ""bipartite"", ""d"": 1, ""gap"": 336350, ""isolated"": 0, ""period_bound"": 30, ""proper_colorings"": 336380}",51
11,6,358442016,358442016,1,5,6,"{""a"": 5, ""b"": 6, ""case"": ""bipartite"", ""d"": 1, ""gap"": 4355040, ""isolated"": 0, ""period_bound"": 30, ""proper_colorings"": 4355070}",51
11,7,1939367551,1939367551,1,5,6,"{""a"": 5, ""b"": 6, ""case"": ""bipartite"", ""d"": 1, ""gap"": 37959192, ""isolated"": 0, ""period_bound"": 30, ""proper_colorings"": 37959222}",51
11,8,8344840710,8344840710,1,5,6,"{""a"": 5, ""b"": 6, ""case"": ""bipartite"", ""d"": 1, ""gap"": 245093882, ""isolated"": 0, ""period_bound"": 30, ""proper_colorings"": 245093912}",51
11,9,30129342303,30129342303,1,5,6,"{""a"": 5, ""b"": 6, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1251717306, ""isolated"": 0, ""period_bound"": 30, ""proper_colorings"": 1251717336}",51
11,10,94699146820,94699146820,1,5,6,"{""a"": 5, ""b"": 6, ""case"": ""bipartite"", ""d"": 1, ""gap"": 5300853180, ""isolated"": 0, ""period_bound"": 30, ""proper_colorings"": 5300853210}",51
12,3,530974,530974,1,5,7,"{""a"": 5, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 467, ""isolated"": 0, ""period_bound"": 7, ""proper_colorings"": 474}",62
12,4,16744863,16744863,1,5,7,"{""a"": 5, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 32353, ""isolated"": 0, ""period_bound"": 35, ""proper_colorings"": 32388}",62
12,5,243209440,243209440,1,5,7,"{""a"": 5, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 931185, ""isolated"": 0, ""period_bound"": 35, ""proper_colorings"": 931220}",62
12,6,2161918301,2161918301,1,5,7,"{""a"": 5, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 14864035, ""isolated"": 0, ""period_bound"": 35, ""proper_colorings"": 14864070}",62
12,7,13685399574,13685399574,1,5,7,"{""a"": 5, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 155887627, ""isolated"": 0, ""period_bound"": 35, ""proper_colorings"": 155887662}",62
12,8,67531544347,67531544347,1,5,7,"{""a"": 5, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1187932389, ""isolated"": 0, ""period_bound"": 35, ""proper_colorings"": 1187932424}",62
12,9,275383816028,275383816028,1,5,7,"{""a"": 5, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 7045720453, ""isolated"": 0, ""period_bound"": 35, ""proper_colorings"": 7045720488}",62
12,10,965825966745,965825966745,1,5,7,"{""a"": 5, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 34174033255, ""isolated"": 0, ""period_bound"": 35, ""proper_colorings"": 34174033290}",62
12,11,2997777708466,2997777708466,1,5,7,"{""a"": 5, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 140650668255, ""isolated"": 0, ""period_bound"": 35, ""proper_colorings"": 140650668290}",62
13,3,1593760,1593760,1,6,7,"{""a"": 6, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 563, ""isolated"": 0, ""period_bound"": 7, ""proper_colorings"": 570}",69
13,4,67050382,67050382,1,6,7,"{""a"": 6, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 58482, ""isolated"": 0, ""period_bound"": 42, ""proper_colorings"": 58524}",69
13,5,1218566307,1218566307,1,6,7,"{""a"": 6, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2136818, ""isolated"": 0, ""period_bound"": 42, ""proper_colorings"": 2136860}",69
13,6,13018362588,13018362588,1,6,7,"{""a"": 6, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 42331428, ""isolated"": 0, ""period_bound"": 42, ""proper_colorings"": 42331470}",69
13,7,96351420907,96351420907,1,6,7,"{""a"": 6, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 537589500, ""isolated"": 0, ""period_bound"": 42, ""proper_colorings"": 537589542}",69
13,8,544888593810,544888593810,1,6,7,"{""a"": 6, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 4867220078, ""isolated"": 0, ""period_bound"": 42, ""proper_colorings"": 4867220120}",69
13,9,2508106498107,2508106498107,1,6,7,"{""a"": 6, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 33759330222, ""isolated"": 0, ""period_bound"": 42, ""proper_colorings"": 33759330264}",69
13,10,9811113735472,9811113735472,1,6,7,"{""a"": 6, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 188886264528, ""isolated"": 0, ""period_bound"": 42, ""proper_colorings"": 188886264570}",69
13,11,33636693762483,33636693762483,1,6,7,"{""a"": 6, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 886018381448, ""isolated"": 0, ""period_bound"": 42, ""proper_colorings"": 886018381490}",69
13,12,103404135318582,103404135318582,1,6,7,"{""a"": 6, ""b"": 7, ""case"": ""bipartite"", ""d"": 1, ""gap"": 3589070060490, ""isolated"": 0, ""period_bound"": 42, ""proper_colorings"": 3589070060532}",69
14,3,4781352,4781352,1,5,9,"{""a"": 5, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1617, ""isolated"": 0, ""period_bound"": 9, ""proper_colorings"": 1626}",79
14,4,268264009,268264009,1,5,9,"{""a"": 5, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 171447, ""isolated"": 0, ""period_bound"": 45, ""proper_colorings"": 171492}",79
14,5,6095530850,6095530850,1,5,9,"{""a"": 5, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 7984775, ""isolated"": 0, ""period_bound"": 45, ""proper_colorings"": 7984820}",79
14,6,78173587671,78173587671,1,5,9,"{""a"": 5, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 190576425, ""isolated"": 0, ""period_bound"": 45, ""proper_colorings"": 190576470}",79
14,7,675379176832,675379176832,1,5,9,"{""a"": 5, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2843896017, ""isolated"": 0, ""period_bound"": 45, ""proper_colorings"": 2843896062}",79
14,8,4368315878693,4368315878693,1,5,9,"{""a"": 5, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 29730632411, ""isolated"": 0, ""period_bound"": 45, ""proper_colorings"": 29730632456}",79
14,9,22641997513014,22641997513014,1,5,9,"{""a"": 5, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 234794941947, ""isolated"": 0, ""period_bound"": 45, ""proper_colorings"": 234794941992}",79
14,10,98521588557955,98521588557955,1,5,9,"{""a"": 5, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1478411442045, ""isolated"": 0, ""period_bound"": 45, ""proper_colorings"": 1478411442090}",79
14,11,372022987867796,372022987867796,1,5,9,"{""a"": 5, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 7726845715445, ""isolated"": 0, ""period_bound"": 45, ""proper_colorings"": 7726845715490}",79
14,12,1249345020143937,1249345020143937,1,5,9,"{""a"": 5, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 34573444404927, ""isolated"": 0, ""period_bound"": 45, ""proper_colorings"": 34573444404972}",79
14,13,3801681769133098,3801681769133098,1,5,9,"{""a"": 5, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 135694616566191, ""isolated"": 0, ""period_bound"": 45, ""proper_colorings"": 135694616566236}",79
15,3,14347769,14347769,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1138, ""isolated"": 0, ""period_bound"": 8, ""proper_colorings"": 1146}",89
15,4,1073514876,1073514876,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 226948, ""isolated"": 0, ""period_bound"": 56, ""proper_colorings"": 227004}",89
15,5,30504318281,30504318281,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 13259844, ""isolated"": 0, ""period_bound"": 56, ""proper_colorings"": 13259900}",89
15,6,469789437722,469789437722,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 395546854, ""isolated"": 0, ""period_bound"": 56, ""proper_colorings"": 395546910}",89
15,7,4740354271737,4740354271737,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 7207238206, ""isolated"": 0, ""period_bound"": 56, ""proper_colorings"": 7207238262}",89
15,8,35094077857952,35094077857952,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 90294230880, ""isolated"": 0, ""period_bound"": 56, ""proper_colorings"": 90294230936}",89
15,9,205049483948441,205049483948441,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 841648146208, ""isolated"": 0, ""period_bound"": 56, ""proper_colorings"": 841648146264}",89
15,10,993826444421406,993826444421406,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 6173555578594, ""isolated"": 0, ""period_bound"": 56, ""proper_colorings"": 6173555578650}",89
15,11,4140095090150537,4140095090150537,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 37153079265114, ""isolated"": 0, ""period_bound"": 56, ""proper_colorings"": 37153079265170}",89
15,12,15217595315196452,15217595315196452,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 189426259389916, ""isolated"": 0, ""period_bound"": 56, ""proper_colorings"": 189426259389972}",89
15,13,50346740785770537,50346740785770537,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 839152228320220, ""isolated"": 0, ""period_bound"": 56, ""proper_colorings"": 839152228320276}",89
15,14,152272090764083906,152272090764083906,1,7,8,"{""a"": 7, ""b"": 8, ""case"": ""bipartite"", ""d"": 1, ""gap"": 3296004793728318, ""isolated"": 0, ""period_bound"": 56, ""proper_colorings"": 3296004793728374}",89
16,3,43044816,43044816,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1905, ""isolated"": 0, ""period_bound"": 9, ""proper_colorings"": 1914}",101
16,4,4294494331,4294494331,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 472965, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 473028}",101
16,5,152552490668,152552490668,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 35399957, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 35400020}",101
16,6,2819827173849,2819827173849,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1282733607, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 1282733670}",101
16,7,33205154393362,33205154393362,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 27776176239, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 27776176302}",101
16,8,281068693281335,281068693281335,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 406283429321, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 406283429384}",101
16,9,1848659924335896,1848659924335896,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 4360264515945, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 4360264516008}",101
16,10,9963599607917173,9963599607917173,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 36400392082827, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 36400392082890}",101
16,11,45702879819538334,45702879819538334,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 246850044033827, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 246850044033890}",101
16,12,183478387893159027,183478387893159027,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1405871001877389, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 1405871001877452}",101
16,13,658513832887802500,658513832887802500,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 6902776295377341, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 6902776295377404}",101
16,14,2148112992563622161,2148112992563622161,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 29840345245748975, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 29840345245749038}",101
16,15,6452869892737873578,6452869892737873578,1,7,9,"{""a"": 7, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 115538462975017047, ""isolated"": 0, ""period_bound"": 63, ""proper_colorings"": 115538462975017110}",101
17,3,129137874,129137874,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2289, ""isolated"": 0, ""period_bound"": 9, ""proper_colorings"": 2298}",110
17,4,17178987052,17178987052,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 882132, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 882204}",110
17,5,762858268017,762858268017,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 81185108, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 81185180}",110
17,6,16923053019738,16923053019738,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 3606424998, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 3606425070}",110
17,7,232537366992457,232537366992457,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 93146994750, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 93146994822}",110
17,8,2250203127108912,2250203127108912,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1596686576336, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 1596686576408}",110
17,9,16657377446253177,16657377446253177,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 19804253413392, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 19804253413464}",110
17,10,99811105689774862,99811105689774862,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 188894310225138, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 188894310225210}",110
17,11,503997808285014753,503997808285014753,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1449220214279018, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 1449220214279090}",110
17,12,2209354162733042772,2209354162733042772,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 9256944007394220, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 9256944007394292}",110
17,13,8599834056186877537,8599834056186877537,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 50581863194460396, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 50581863194460468}",110
17,14,30249702549576680802,30249702549576680802,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 241644179754515102, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 241644179754515174}",110
17,15,97498741811176720857,97498741811176720857,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1027383524516638518, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 1027383524516638590}",110
17,16,291202949366754761368,291202949366754761368,1,8,9,"{""a"": 8, ""b"": 9, ""case"": ""bipartite"", ""d"": 1, ""gap"": 3944955812598064488, ""isolated"": 0, ""period_bound"": 72, ""proper_colorings"": 3944955812598064560}",110
18,3,387413978,387413978,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 6511, ""isolated"": 0, ""period_bound"": 11, ""proper_colorings"": 6522}",124
18,4,68717212713,68717212713,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2264023, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 2264100}",124
18,5,3814416060082,3814416060082,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 281205543, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 281205620}",124
18,6,101545079766743,101545079766743,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 14876901673, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 14876901750}",124
18,7,1627963933298304,1627963933298304,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 449664612145, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 449664612222}",124
18,8,18005530683873349,18005530683873349,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 8867825608635, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 8867825608712}",124
18,9,149969767516240118,149969767516240118,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 124867780759003, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 124867780759080}",124
18,10,998662337359173987,998662337359173987,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1337662640826013, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 1337662640826090}",124
18,11,5548493930874712708,5548493930874712708,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 11423382617518773, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 11423382617518850}",124
18,12,26542739967412422689,26542739967412422689,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 80593313472821215, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 80593313472821292}",124
18,13,111972297613345625754,111972297613345625754,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 483109338611767375, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 483109338611767452}",124
18,14,424362221005823341423,424362221005823341423,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2516633204813401233, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 2516633204813401310}",124
18,15,1466287760417030138792,1466287760417030138792,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 11604119618370251833, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 11604119618370251910}",124
18,16,4674279176021038214973,4674279176021038214973,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 48087306848606998723, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 48087306848606998800}",124
18,17,13881701136189192089374,13881701136189192089374,1,7,11,"{""a"": 7, ""b"": 11, ""case"": ""bipartite"", ""d"": 1, ""gap"": 181383315878532901635, ""isolated"": 0, ""period_bound"": 77, ""proper_colorings"": 181383315878532901712}",124
19,3,1162256875,1162256875,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 4592, ""isolated"": 0, ""period_bound"": 10, ""proper_colorings"": 4602}",134
19,4,274874464798,274874464798,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 3442146, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 3442236}",134
19,5,19072993147035,19072993147035,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 493181090, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 493181180}",134
19,6,609327355685916,609327355685916,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 32384324580, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 32384324670}",134
19,7,11397720713096731,11397720713096731,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 1174472276412, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 1174472276502}",134
19,8,144087896022603330,144087896022603330,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 27292053252542, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 27292053252632}",134
19,9,1350405137338117083,1350405137338117083,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 446580334875006, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 446580334875096}",134
19,10,9994503395179924480,9994503395179924480,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 5496604820075520, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 5496604820075610}",134
19,11,61105677164868788091,61105677164868788091,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 53413283545758200, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 53413283545758290}",134
19,12,319054807607973295686,319054807607973295686,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 425191762649631162, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 425191762649631252}",134
19,13,1459066187070951555355,1459066187070951555355,1,9,10,"{""a"": 9, ""b"": 10, ""case"": ""bipartite"", ""d"": 1, ""gap"": 2854103304494555322, ""isolated"": 0, ""period_bound"": 90, ""proper_colorings"": 2854103304494555412}",134
