source_key,source_package,source_file,source_line,source_label,source_kind,source_title,source_chapter,source_section_path,source_proof_present,canonical_label,canonical_status,lean_module,lean_declaration,disposition_notes
Inverse_and_Sampling_Frontiers:p1:cor:first-oscillatory-inverse,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1190,p1:cor:first-oscillatory-inverse,corollary,First oscillatory relative correction,,Inverse Frontiers for the Fabius--Rvachev System / Periodic Lambert--Bell inversion at the endpoint / Two-scale inversion of the saddle phase,no,,,,,
Inverse_and_Sampling_Frontiers:p1:thm:inverse-limit-set,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1214,p1:thm:inverse-limit-set,theorem,Limit set of the normalized second term,,Inverse Frontiers for the Fabius--Rvachev System / Periodic Lambert--Bell inversion at the endpoint / A complete periodic limit set,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:thm:quantile-elasticity,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1263,p1:thm:quantile-elasticity,theorem,Two-term endpoint elasticity,,Inverse Frontiers for the Fabius--Rvachev System / Periodic Lambert--Bell inversion at the endpoint / Quantile elasticity and inverse derivatives,yes,,,,,
Inverse_and_Sampling_Frontiers:p1:thm:all-orders-endpoint-recursion,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1327,p1:thm:all-orders-endpoint-recursion,theorem,Triangular all-orders endpoint recursion,,Inverse Frontiers for the Fabius--Rvachev System / Periodic Lambert--Bell inversion at the endpoint / An all-orders Lambert--Bell reversion algorithm,yes,,,,,
Inverse_and_Sampling_Frontiers:unlabelled-obligation-001,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1614,,obligation,Polynomial smoothing and inverse moment operator --- discharged,,Inverse Frontiers for the Fabius--Rvachev System / Algorithms and a Lean formalization roadmap / Formalization modules,no,,,,,
Inverse_and_Sampling_Frontiers:unlabelled-obligation-002,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1645,,obligation,Plateau-to-polynomial localization,,Inverse Frontiers for the Fabius--Rvachev System / Algorithms and a Lean formalization roadmap / Formalization modules,no,,,,,
Inverse_and_Sampling_Frontiers:unlabelled-obligation-003,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1708,,obligation,Algebraic inverse germ,,Inverse Frontiers for the Fabius--Rvachev System / Algorithms and a Lean formalization roadmap / Formalization modules,no,,,,,
Inverse_and_Sampling_Frontiers:unlabelled-obligation-004,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1907,,obligation,Two-scale endpoint reversion,,Inverse Frontiers for the Fabius--Rvachev System / Algorithms and a Lean formalization roadmap / Formalization modules,no,,,,,
Inverse_and_Sampling_Frontiers:p1:conj:natural-threshold,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,1952,p1:conj:natural-threshold,conjecture,Natural threshold for inverse-dyadic germs,,Inverse Frontiers for the Fabius--Rvachev System / Further deductions and frontier problems / Validity thresholds,no,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:algebraic-inverse-germ,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2681,p2:thm:algebraic-inverse-germ,theorem,Dyadic algebraic inverse germ; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Algebraic Taylor shadows of the inverse Fabius function / The finite dyadic jet polynomial,yes,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:inverse-derivatives,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2767,p2:thm:inverse-derivatives,theorem,All inverse derivatives at dyadic outputs; \statusnew,,"Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Algebraic Taylor shadows of the inverse Fabius function / Lagrange--B\""urmann and Bell formulas",yes,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:Catalan-quarter,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2833,p2:thm:Catalan-quarter,theorem,Catalan inverse jet at $F(1/4)$; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Algebraic Taylor shadows of the inverse Fabius function / The quarter point: Catalan numbers exactly,yes,,,,,
Inverse_and_Sampling_Frontiers:unlabelled-example-001,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2886,,example,The first derivatives,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Algebraic Taylor shadows of the inverse Fabius function / The quarter point: Catalan numbers exactly,no,,,,,
Inverse_and_Sampling_Frontiers:p2:def:Appell-polys,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2955,p2:def:Appell-polys,definition,Kabaya--Iri and centered Rvachev--Appell polynomials,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Kabaya--Iri polynomials and the Rvachev Appell inverse / The external precursor and the normalization used here,no,,,,,
Inverse_and_Sampling_Frontiers:p2:prop:Appell-package,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,2983,p2:prop:Appell-package,proposition,Classical Appell package; \statuslit,,"Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Kabaya--Iri polynomials and the Rvachev Appell inverse / Appell, mean-value, and biorthogonality identities",yes,,,,,
Inverse_and_Sampling_Frontiers:p2:prop:Bernoulli-refinement,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3106,p2:prop:Bernoulli-refinement,proposition,Bernoulli refinement of the Appell sequences,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Kabaya--Iri polynomials and the Rvachev Appell inverse / Bernoulli refinement recurrences,yes,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:logistic-dual,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3163,p2:thm:logistic-dual,theorem,Logistic dual of the Rvachev law; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Kabaya--Iri polynomials and the Rvachev Appell inverse / A dyadic logistic dual,yes,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:Barnes-identification,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3283,p2:thm:Barnes-identification,theorem,Dyadic Barnes identification; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Finite dyadic prefixes as Barnes--Bernoulli polynomials / Normalized Barnes multiple Bernoulli polynomials,yes,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:TM-uncentered,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3346,p2:thm:TM-uncentered,theorem,Uncentered Thue--Morse--Barnes collapse; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Finite dyadic prefixes as Barnes--Bernoulli polynomials / A complete Thue--Morse difference operator,yes,,,,,
Inverse_and_Sampling_Frontiers:p2:cor:Prouhet-canonical,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3373,p2:cor:Prouhet-canonical,corollary,Prouhet cancellation with a canonical correction,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Finite dyadic prefixes as Barnes--Bernoulli polynomials / A complete Thue--Morse difference operator,no,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:TM-centered,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3388,p2:thm:TM-centered,theorem,Centered Thue--Morse--Rvachev collapse; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Finite dyadic prefixes as Barnes--Bernoulli polynomials / A complete Thue--Morse difference operator,yes,,,,,
Inverse_and_Sampling_Frontiers:p2:eq:A4N2,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3424,p2:eq:A4N2,example,The first genuinely centered identity,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Finite dyadic prefixes as Barnes--Bernoulli polynomials / A complete Thue--Morse difference operator,no,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:finite-prefix-expansion,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3486,p2:thm:finite-prefix-expansion,theorem,Exact finite-prefix expansion; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Exact finite-prefix expansions and \texorpdfstring{$q$ / Tail self-similarity is polynomial in the truncation scale,yes,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:exact-recovery,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3571,p2:thm:exact-recovery,theorem,Exact $q$-Richardson recovery; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Exact finite-prefix expansions and \texorpdfstring{$q$ / Geometric Lagrange weights,yes,,,,,
Inverse_and_Sampling_Frontiers:p2:alg:exact-Appell,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3721,p2:alg:exact-Appell,algorithm,Exact Appell polynomial recovery,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Exact finite-prefix expansions and \texorpdfstring{$q$ / A finite algorithm for any fixed degree,no,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:Laurent-leading,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3780,p2:thm:Laurent-leading,theorem,Laurent coefficient from the odd core; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Reciprocal-sinc poles and the asymptotics of Appell constants / Exact leading Laurent coefficient,yes,,,,,
Inverse_and_Sampling_Frontiers:p2:cor:pole-degree,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3841,p2:cor:pole-degree,corollary,Pole multiplicity becomes polynomial degree; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Reciprocal-sinc poles and the asymptotics of Appell constants / A \texorpdfstring{$2$,no,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:three-shell,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,3892,p2:thm:three-shell,theorem,Three-shell asymptotic; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / Reciprocal-sinc poles and the asymptotics of Appell constants / The first three pole shells explicitly,yes,,,,,
Inverse_and_Sampling_Frontiers:p2:thm:Lambert-threshold,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,4018,p2:thm:Lambert-threshold,theorem,Lambert coefficient threshold; \statusnew,,Dyadic Inverse Germs and Barnes--Rvachev Deconvolution / A Lambert-\texorpdfstring{$W$ / From pole asymptotics to factorial growth,yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:self-sampling,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,4928,p3:thm:self-sampling,theorem,Shifted self-sampling quadrature,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / The shifted dyadic self-sampling theorem / Definition of the rules",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:cor:rational-rules,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,4969,p3:cor:rational-rules,corollary,Positive rational rules,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / The shifted dyadic self-sampling theorem / Rationality and denominator control",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:master-alias,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5039,p3:thm:master-alias,theorem,Master shifted-alias identity,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / The master alias function and the $2$-adic error filtration / An entire generating function for all moment defects",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:cor:valuation-filtration,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5063,p3:cor:valuation-filtration,corollary,Valuation filtration of polynomial errors,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / The master alias function and the $2$-adic error filtration / An entire generating function for all moment defects",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:prop:local-factorization,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5091,p3:prop:local-factorization,proposition,Exact local factorization,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / The master alias function and the $2$-adic error filtration / An exact local factorization at every integer zero",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:cor:Bell-zero-jets,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5184,p3:cor:Bell-zero-jets,corollary,Bell-polynomial zero jets,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / The master alias function and the $2$-adic error filtration / An exact local factorization at every integer zero",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:first-defect,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5222,p3:thm:first-defect,theorem,Exact first-defect series,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / The first defect: half-integer spectrum and Thue--Morse signs",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:prop:half-integer-sign,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5264,p3:prop:half-integer-sign,proposition,Half-integer sign law,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / The first defect: half-integer spectrum and Thue--Morse signs / The spectral sign is exactly Thue--Morse",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:cor:defect-symmetries,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5294,p3:cor:defect-symmetries,corollary,Phase symmetries,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / The first defect: half-integer spectrum and Thue--Morse signs / Symmetries",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:Bernoulli-convolution,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5335,p3:thm:Bernoulli-convolution,theorem,Bernoulli--Rvachev error kernel,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / A Bernoulli convolution formula for the first defect / The periodic up-kernel",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:lem:phi-half-lower,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5357,p3:lem:phi-half-lower,lemma,A uniform lower bound at the first half-integer,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / A Bernoulli convolution formula for the first defect / A rigorous first-harmonic bound",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:sinusoidal-asymptotics,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5385,p3:thm:sinusoidal-asymptotics,theorem,Uniform sinusoidal asymptotics,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / A Bernoulli convolution formula for the first defect / A rigorous first-harmonic bound",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:cor:forced-superconvergence,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5426,p3:cor:forced-superconvergence,corollary,One extra exact degree,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Parity-selected positive superconvergence / Forced phases",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:lem:odd-trig-factor,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5444,p3:lem:odd-trig-factor,lemma,Odd trigonometric factor bounds,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Parity-selected positive superconvergence / Classification of the superconvergent phases",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:phase-classification,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5459,p3:thm:phase-classification,theorem,Exact phase classification,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Parity-selected positive superconvergence / Classification of the superconvergent phases",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:positive-phase-refinement,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5542,p3:thm:positive-phase-refinement,theorem,Positive phase refinement,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Positive alias filters as Richardson extrapolation / Coset rules",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:unique-phase-filter,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5582,p3:thm:unique-phase-filter,theorem,Unique full residue-class filter,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Positive alias filters as Richardson extrapolation / Uniqueness in alias space",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:def:inverse-Appell,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5625,p3:def:inverse-Appell,definition,Inverse-moment Rvachev--Appell sequence,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Inverse-moment Rvachev--Appell polynomials / The umbral inverse of the moment family",no,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:Appell-Bell,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5642,p3:thm:Appell-Bell,theorem,Bell--Bernoulli structure,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Inverse-moment Rvachev--Appell polynomials / The umbral inverse of the moment family",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:Appell-deconvolution,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5697,p3:thm:Appell-deconvolution,theorem,Exact deconvolution identity,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Inverse-moment Rvachev--Appell polynomials / Continuous deconvolution",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:cor:Appell-mean-zero,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5718,p3:cor:Appell-mean-zero,corollary,Mean-zero Appell cancellations,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Inverse-moment Rvachev--Appell polynomials / Continuous deconvolution",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:Appell-lattice-reproduction,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5735,p3:thm:Appell-lattice-reproduction,theorem,Finite Rvachev--Appell translation formula,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Inverse-moment Rvachev--Appell polynomials / Finite lattice reproduction",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:cor:polynomial-deconvolution,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5762,p3:cor:polynomial-deconvolution,corollary,Polynomial reproduction by deconvolved translates,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Inverse-moment Rvachev--Appell polynomials / Finite lattice reproduction",no,,,,,
Inverse_and_Sampling_Frontiers:p3:prop:A8-roots,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5781,p3:prop:A8-roots,proposition,First certified nonreal zeros,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Inverse-moment Rvachev--Appell polynomials / Root geometry: an exact counterexample to real-rootedness",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:inverse-Fabius-quadrature,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5826,p3:thm:inverse-Fabius-quadrature,theorem,Rational inverse-Fabius quadrature,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Transport through the inverse Fabius function",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:thm:qbinomial-moment-identity,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5915,p3:thm:qbinomial-moment-identity,theorem,Finite arithmetic moment identity,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Finite Gaussian-$q$-binomial identities forced by quadrature / A $q$-binomial--Thue--Morse--Bell identity",yes,,,,,
Inverse_and_Sampling_Frontiers:p3:cor:q-Appell-cancellation,Inverse_and_Sampling_Frontiers,Inverse_and_Sampling_Frontiers/Inverse_and_Sampling_Frontiers.tex,5946,p3:cor:q-Appell-cancellation,corollary,Finite Appell cancellation in $q$-arithmetic,,"Dyadic Self-Sampling, Alias Superconvergence, and Rvachev--Appell Deconvolution / Finite Gaussian-$q$-binomial identities forced by quadrature / A $q$-binomial--Thue--Morse--Bell identity",yes,,,,,
