source_key,source_package,source_file,source_line,source_label,source_kind,source_title,source_section_path,source_proof_present,canonical_label,canonical_status,lean_module,lean_declaration,disposition_notes
dyadic:prop:Bell-jets,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1682,prop:Bell-jets,proposition,Bell--Bernoulli alias jets,Comb sums and quadrature / Shifted Rvachev quadrature and the alias calculus / The finite \texorpdfstring{$2$,yes,prop:Bell-jets,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:first-failure,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1746,thm:first-failure,theorem,Degree-$(m{+}1)$ error,Comb sums and quadrature / Shifted Rvachev quadrature and the alias calculus / First failure and phase superconvergence,yes,thm:first-failure,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:cor:phase-super,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1771,cor:phase-super,corollary,Phase superconvergence,Comb sums and quadrature / Shifted Rvachev quadrature and the alias calculus / First failure and phase superconvergence,yes,cor:phase-super,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:absolute-integer,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1854,thm:absolute-integer,theorem,Absolute integer powers,Comb sums and quadrature / Shifted Rvachev quadrature and the alias calculus / Absolute integer powers: the exact zeta correction,yes,thm:absolute-integer,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:lem:bern-jump,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1975,lem:bern-jump,lemma,Endpoint-jump interpolation,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / The Bernoulli corrector and the shifted rule",yes,lem:bern-jump,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:def:shifted-rule,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,1989,def:shifted-rule,definition,Corrected shifted Fabius rule,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / The Bernoulli corrector and the shifted rule",no,def:shifted-rule,not applicable,,,Retained under its canonical prefixed label.
dyadic:thm:composite-termination,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2070,thm:composite-termination,theorem,$2$-adic termination on arbitrary meshes,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Composite-mesh termination and the reflection reduction",yes,thm:composite-termination,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:reflection-reduction,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2088,thm:reflection-reduction,theorem,Reflection reduction at the endpoint phase,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Composite-mesh termination and the reflection reduction",yes,thm:reflection-reduction,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:F-first-defect,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2146,thm:F-first-defect,theorem,Shifted first defect on the Fabius side,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / The shifted first defect and its forced phases",yes,thm:F-first-defect,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:cor:F-phases,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2171,cor:F-phases,corollary,Parity-forced phases,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / The shifted first defect and its forced phases",yes,cor:F-phases,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:cor:beta-sign,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2243,cor:beta-sign,corollary,Alternating Bernoulli moments,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / The shifted first defect and its forced phases",no,cor:beta-sign,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:lem:multiple-angle,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2271,lem:multiple-angle,lemma,Relative first-harmonic dominance,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / The multiple-angle domination lemma and the complete phase zero sets",yes,lem:multiple-angle,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:twisted-D-positive,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2301,thm:twisted-D-positive,theorem,Twisted spectral positivity and Thue--Morse signs,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / The multiple-angle domination lemma and the complete phase zero sets",yes,thm:twisted-D-positive,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:phase-zero-set,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2328,thm:phase-zero-set,theorem,Complete phase zero sets at the first failing level,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / The multiple-angle domination lemma and the complete phase zero sets",yes,thm:phase-zero-set,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:D-positive,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2367,thm:D-positive,theorem,First-harmonic dominance; $D(2r)>0$ for all $r$,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Spectral positivity: the conjecture becomes a theorem",yes,thm:D-positive,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:cor:odd-sharp,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2398,cor:odd-sharp,corollary,Odd-level sharpness,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Spectral positivity: the conjecture becomes a theorem",yes,cor:odd-sharp,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:ruffa-tail,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2470,thm:ruffa-tail,theorem,Closed exhaustion tail,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / The exhaustion series and its closed tail",yes,thm:ruffa-tail,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:annihilator-comb,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2514,thm:annihilator-comb,theorem,Post-threshold annihilator,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Derivative-free rational extrapolation",yes,thm:annihilator-comb,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:up-composite-mesh,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2563,thm:up-composite-mesh,theorem,Composite-mesh self-sampling,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Composite-mesh Rvachev quadrature",yes,thm:up-composite-mesh,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:phase-cubature,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2698,thm:phase-cubature,theorem,Finite phase cubature,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Phase cubature and the phase--resolution separation",no,thm:phase-cubature,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:tm-bernoulli-egf,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2740,thm:tm-bernoulli-egf,theorem,Thue--Morse--Bernoulli generating function,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Digital phase filters: Prouhet in the Bernoulli basis",yes,thm:tm-bernoulli-egf,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:conj:odd-base,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2913,conj:odd-base,conjecture,Odd-base nontermination,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Further directions from the absorbed report",no,conj:odd-base,conjecture,,,Retained under its canonical prefixed label.
dyadic:q:defect-hierarchy,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2933,q:defect-hierarchy,question,Higher-defect hierarchy at low valuation,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Further directions from the absorbed report",no,q:defect-hierarchy,open problem,,,Retained under its canonical prefixed label.
dyadic:q:mesh-classification,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2943,q:mesh-classification,question,Complete mesh classification,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Further directions from the absorbed report",no,q:mesh-classification,open problem,,,Retained under its canonical prefixed label.
dyadic:q:analytic-weights,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2952,q:analytic-weights,question,Analytic weights with Lambert-truncated correctors,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Further directions from the absorbed report",no,q:analytic-weights,open problem,,,Retained under its canonical prefixed label.
dyadic:q:dyadic-phase-support,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2980,q:dyadic-phase-support,question,Minimal dyadic phase support,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Further directions from the absorbed report",no,q:dyadic-phase-support,open problem,,,Retained under its canonical prefixed label.
dyadic:conj:automatic-dictionary,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,2992,conj:automatic-dictionary,conjecture,Automatic-filter Strang--Fix dictionary,"Comb sums and quadrature / Bernoulli periodization, composite meshes, and the exhaustion closure / Further directions from the absorbed report",no,conj:automatic-dictionary,conjecture,,,Retained under its canonical prefixed label.
dyadic:thm:Hurwitz-comb,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3025,thm:Hurwitz-comb,theorem,Hurwitz-zeta--Thue--Morse formula,"Comb sums and quadrature / Complex, fractional, and negative powers / Entire dependence and the Hurwitz--Thue--Morse formula",yes,thm:Hurwitz-comb,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:cor:negative-rational,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3058,cor:negative-rational,corollary,Negative integer powers are rational,"Comb sums and quadrature / Complex, fractional, and negative powers / Entire dependence and the Hurwitz--Thue--Morse formula",no,cor:negative-rational,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:complex-EM,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3096,thm:complex-EM,theorem,Complex-power expansion,"Comb sums and quadrature / Complex, fractional, and negative powers / Complex-power Euler--Maclaurin and Richardson filtering",yes,thm:complex-EM,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:lem:cutoff-mellin,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3163,lem:cutoff-mellin,lemma,Cutoff-monomial summation,"Comb sums and quadrature / Complex, fractional, and negative powers / The universal zeta correction",yes,lem:cutoff-mellin,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:fractional-zeta,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3200,thm:fractional-zeta,theorem,Fractional absolute powers,"Comb sums and quadrature / Complex, fractional, and negative powers / The universal zeta correction",yes,thm:fractional-zeta,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:shifted-Hurwitz,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3234,thm:shifted-Hurwitz,theorem,Shifted Hurwitz corrections,"Comb sums and quadrature / Complex, fractional, and negative powers / The universal zeta correction",yes,thm:shifted-Hurwitz,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:prop:negative-powers,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3271,prop:negative-powers,proposition,Renormalized negative powers,"Comb sums and quadrature / Complex, fractional, and negative powers / Negative powers and the logarithmic transition",yes,prop:negative-powers,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:iterated-reduction,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3364,thm:iterated-reduction,theorem,Exact $n$-fold reduction,Comb sums and quadrature / Iterated and fractional-order summation / The binomial kernel and two exact reductions,yes,thm:iterated-reduction,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:cor:iterated-natural,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3409,cor:iterated-natural,corollary,Closed forms at natural degree,Comb sums and quadrature / Iterated and fractional-order summation / The binomial kernel and two exact reductions,no,cor:iterated-natural,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:fractional-limit,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3459,thm:fractional-limit,theorem,Fractional Volterra limit,Comb sums and quadrature / Iterated and fractional-order summation / Fractional order,yes,thm:fractional-limit,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:prob:sharp-valuations,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3517,prob:sharp-valuations,problem,Sharp valuations,Comb sums and quadrature / Arithmetic consequences,no,prob:sharp-valuations,open problem,,,Retained under its canonical prefixed label.
dyadic:prob:row-geometry,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3583,prob:row-geometry,problem,Row-polynomial geometry,Comb sums and quadrature / Frontier directions for Part I,no,prob:row-geometry,open problem,,,Retained under its canonical prefixed label.
dyadic:prop:symmetry,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3728,prop:symmetry,proposition,Symmetry and exact degree drop,"Global polynomial interpolation on the dyadic comb / Ordinary global Lagrange interpolation / Symmetry, degree drop, and compressed forms",yes,prop:symmetry,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:weight-valuation,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3770,thm:weight-valuation,theorem,$2$-adic valuation of the comb weights,Global polynomial interpolation on the dyadic comb / Ordinary global Lagrange interpolation / A $2$-adic law for the barycentric weights,yes,thm:weight-valuation,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:prop:jet-defect,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3801,prop:jet-defect,proposition,Exact endpoint jets,Global polynomial interpolation on the dyadic comb / Ordinary global Lagrange interpolation / Endpoint-jet defects: the Stirling transform,no,prop:jet-defect,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:unlabelled-observation-001,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3891,,observation,,Global polynomial interpolation on the dyadic comb / Ordinary global Lagrange interpolation / The observed Runge transition,no,sec:ordinary-numerics,not applicable,,,The source environment had no label; this stable canonical label identifies the retained result or its owning section.
dyadic:conj:runge-divergence,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3898,conj:runge-divergence,conjecture,Fabius Runge divergence,Global polynomial interpolation on the dyadic comb / Ordinary global Lagrange interpolation / The observed Runge transition,no,conj:runge-divergence,conjecture,,,Retained under its canonical prefixed label.
dyadic:conj:derivative-law,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3905,conj:derivative-law,conjecture,Endpoint derivative law,Global polynomial interpolation on the dyadic comb / Ordinary global Lagrange interpolation / The observed Runge transition,no,conj:derivative-law,conjecture,,,Retained under its canonical prefixed label.
dyadic:thm:factorization,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,3970,thm:factorization,theorem,Endpoint-flat factorization,Global polynomial interpolation on the dyadic comb / The endpoint-flat Hermite family / The smoothstep and the factorization,yes,thm:factorization,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:lem:gamma-cardinal,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4130,lem:gamma-cardinal,lemma,Gamma form of the interior cardinals,Global polynomial interpolation on the dyadic comb / Weighted Lebesgue geometry and the instability theorems / The value-data operator and its cardinal functions,yes,lem:gamma-cardinal,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:prop:modes,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4153,prop:modes,proposition,Exact cardinal modes,Global polynomial interpolation on the dyadic comb / Weighted Lebesgue geometry and the instability theorems / Exact modes,yes,prop:modes,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:fixed-r,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4227,thm:fixed-r,theorem,Every fixed jet order is exponentially unstable,Global polynomial interpolation on the dyadic comb / Weighted Lebesgue geometry and the instability theorems / Fixed order and all orders,no,thm:fixed-r,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:all-r,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4236,thm:all-r,theorem,No jet schedule stabilizes the family,Global polynomial interpolation on the dyadic comb / Weighted Lebesgue geometry and the instability theorems / Fixed order and all orders,yes,thm:all-r,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:thm:global-hermite,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4299,thm:global-hermite,theorem,First-order global Hermite amplification,Global polynomial interpolation on the dyadic comb / Weighted Lebesgue geometry and the instability theorems / Matching derivatives at every node is worse,yes,thm:global-hermite,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:conj:higher-hermite,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4358,conj:higher-hermite,conjecture,Higher confluent amplification,Global polynomial interpolation on the dyadic comb / Weighted Lebesgue geometry and the instability theorems / Matching derivatives at every node is worse,no,conj:higher-hermite,conjecture,,,Retained under its canonical prefixed label.
dyadic:def:balance,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4386,def:balance,definition,Two-mode balance order,Global polynomial interpolation on the dyadic comb / The balance law and the logarithmically thin window / Exact and asymptotic balance orders,no,def:balance,not applicable,,,Retained under its canonical prefixed label.
dyadic:prop:balance-asymptotic,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4399,prop:balance-asymptotic,proposition,Asymptotic balance law and window,Global polynomial interpolation on the dyadic comb / The balance law and the logarithmically thin window / Exact and asymptotic balance orders,yes,prop:balance-asymptotic,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:conj:lambert-peak,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4519,conj:lambert-peak,conjecture,Lambert peak law,Global polynomial interpolation on the dyadic comb / The balance law and the logarithmically thin window / Lambert-$W$ appearances,no,conj:lambert-peak,conjecture,,,Retained under its canonical prefixed label.
dyadic:thm:local-error,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4865,thm:local-error,theorem,"Local Hermite error, with exact Fabius constants",Global polynomial interpolation on the dyadic comb / Stable reconstruction on the same comb / Local Hermite interpolation: the cure,yes,thm:local-error,human-proved frontier result,,,Retained under its canonical prefixed label.
dyadic:conj:optimal-r,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4984,conj:optimal-r,conjecture,Optimal jet order,Global polynomial interpolation on the dyadic comb / Conjectures and frontier problems for Part II,no,conj:optimal-r,conjecture,,,Retained under its canonical prefixed label.
dyadic:conj:optimized-divergence,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,4999,conj:optimized-divergence,conjecture,Optimized divergence,Global polynomial interpolation on the dyadic comb / Conjectures and frontier problems for Part II,no,conj:optimized-divergence,conjecture,,,Retained under its canonical prefixed label.
dyadic:conj:boundary-profile,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,5012,conj:boundary-profile,conjecture,Boundary-layer profile,Global polynomial interpolation on the dyadic comb / Conjectures and frontier problems for Part II,no,conj:boundary-profile,conjecture,,,Retained under its canonical prefixed label.
dyadic:conj:surplus,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,5020,conj:surplus,conjecture,Surplus arithmetic,Global polynomial interpolation on the dyadic comb / Conjectures and frontier problems for Part II,no,conj:surplus,conjecture,,,Retained under its canonical prefixed label.
dyadic:conj:2adic-stability,dyadic,Dyadic_Comb_Frontiers/Dyadic_Comb_Frontiers.tex,5033,conj:2adic-stability,conjecture,$2$-adic stability counterpart,Global polynomial interpolation on the dyadic comb / Conjectures and frontier problems for Part II,no,conj:2adic-stability,conjecture,,,Retained under its canonical prefixed label.
