"source_path","proposed_canonical_destination","action","category","rationale","source_sha256","canonical_sha256"
"inverse_q_analog_jet_atlas/inverse_q_analog_experiments.py","assets/experiments/jet_atlas/scripts/inverse_q_analog_experiments.py","migrate","python-script","Unique exact and high-precision jet audit; after copying under scripts adjust its default output root to the parent experiment while preserving the explicit --output option.","f72e6a2ef75e598a1bdce20b291150acf701ee173251a7892c53c2daa576653a","70e11c03531c292270c191c7c5aed0d3e09841b1404ca211738972247e4e38a8"
"inverse_q_analog_jet_atlas/inverse_q_analog_jet_atlas.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original.","06e1d7ecc8614472ef1e4c8d1b1ddca78c9c26b19eadd255e92a0cff85f9440d","NOT_RETAINED"
"inverse_q_analog_jet_atlas/inverse_q_analog_jet_atlas.tex","","retire","report-source","Its inverse-jet results and proofs are merged into the canonical chapters and recorded in the theorem concordance.","42fe0d4f65e6761bc49cba3b895b35f0303b8cb2ecbeb8da1b03c8be08284821","NOT_RETAINED"
"inverse_q_analog_jet_atlas/numerical_checks.txt","assets/experiments/jet_atlas/output/numerical_checks.txt","migrate","computational-log","Unique 80-digit symbolic and numerical audit trail; retain beside the migrated jet-atlas program.","bf694b83bddb99563fb4e51e823e31e4596d2538c5ec2e0eb17f0f5bcda85f73","bf694b83bddb99563fb4e51e823e31e4596d2538c5ec2e0eb17f0f5bcda85f73"
"inverse_q_analog_jet_atlas/README.txt","","retire","source-readme","Its execution contract, snapshot note, and status conventions are consolidated into canonical documentation and provenance.","81fd9eb8502b7fb1d2dc60cd72d4611ac72f3f0cb290da51d41560872c4b17c4","NOT_RETAINED"
"inverse_q_analog_jet_atlas/SHA256SUMS.txt","","retire","checksum-ledger","Package-local paths become obsolete after migration; replace this verified historical ledger with a canonical ledger after final copy and path edits.","188003bfdc075ce8404225ca3100c3a9953756ea6ecb83c1cf7aff8ecb9b8420","NOT_RETAINED"
"inverse_q_analogs_extended_report/data/fabius_recovery.csv","assets/experiments/extended/data/fabius_recovery.csv","migrate","structured-data","Unique generated table for variance and cumulant recovery in the geometric Fabius-Rvachev family.","4485e0f9b307d340e7712c91777e4c3044c675a4715c1734883b4897e6c2cf48","4485e0f9b307d340e7712c91777e4c3044c675a4715c1734883b4897e6c2cf48"
"inverse_q_analogs_extended_report/data/finite_pochhammer_minus_one.csv","assets/experiments/extended/data/finite_pochhammer_minus_one.csv","migrate","structured-data","Unique exact q=-1 finite q-Pochhammer critical-locus output.","92c504e63a68ed30b18aba1177a514700927031baff46a75279f6d1d80ca8e31","92c504e63a68ed30b18aba1177a514700927031baff46a75279f6d1d80ca8e31"
"inverse_q_analogs_extended_report/data/gaussian_inverse_jets.csv","assets/experiments/extended/data/gaussian_inverse_jets.csv","migrate","structured-data","Unique generated Gaussian inverse-jet validation table.","88e5b12a9c94dabe573685b6bbe5615a1a9506a18bca9bc8adbf91c85f2d92f9","88e5b12a9c94dabe573685b6bbe5615a1a9506a18bca9bc8adbf91c85f2d92f9"
"inverse_q_analogs_extended_report/data/primitive_root_validation.csv","assets/experiments/extended/data/primitive_root_validation.csv","migrate","structured-data","Unique generated primitive-root radial validation table.","14a1c3e17963553d275738ffed0fa21ec55464ba188173dc0c152d47c1db42e1","14a1c3e17963553d275738ffed0fa21ec55464ba188173dc0c152d47c1db42e1"
"inverse_q_analogs_extended_report/data/qgamma_q0.csv","assets/experiments/extended/data/qgamma_q0.csv","migrate","structured-data","Unique generated q-gamma q-to-zero regime table.","883950717cda4b05be9c1683273937cfdfb2f641823bd38d77e401bca92f382f","883950717cda4b05be9c1683273937cfdfb2f641823bd38d77e401bca92f382f"
"inverse_q_analogs_extended_report/data/qgamma_q1.csv","assets/experiments/extended/data/qgamma_q1.csv","migrate","structured-data","Unique generated q-gamma q-to-one regime table.","3a91b122dc1253015f9b538e6aada8c0409bc6dffe1be0cbebb425121dd2b68c","3a91b122dc1253015f9b538e6aada8c0409bc6dffe1be0cbebb425121dd2b68c"
"inverse_q_analogs_extended_report/data/radial_inverse.csv","assets/experiments/extended/data/radial_inverse.csv","migrate","structured-data","Unique generated radial-inverse accuracy table.","b3726a2c60e4a3dd410bba90a19d9773667ed9e6c363e0806e4a6060e720602c","b3726a2c60e4a3dd410bba90a19d9773667ed9e6c363e0806e4a6060e720602c"
"inverse_q_analogs_extended_report/figures/fabius_variance_conditioning.pdf","assets/experiments/extended/figures/fabius_variance_conditioning.pdf","migrate","vector-figure","Unique vector conditioning plot for variance-based contraction recovery.","534e6b44f56cc1e745f9ce6cafb46817537dfba6f916f25aa18290e145b17921","534e6b44f56cc1e745f9ce6cafb46817537dfba6f916f25aa18290e145b17921"
"inverse_q_analogs_extended_report/figures/fabius_variance_conditioning.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG.","f73175d49dc17e4b740165f57c83e59f896ecc203740f5aa8ca7ed69a0a992e9","NOT_RETAINED"
"inverse_q_analogs_extended_report/figures/fabius_variance_inverse.pdf","assets/experiments/extended/figures/fabius_variance_inverse.pdf","migrate","vector-figure","Unique vector plot of the variance inversion map.","6d81d775a0263cc4c5c66bbb07818de908e9e7b47d13b68162a11ee65033bafa","6d81d775a0263cc4c5c66bbb07818de908e9e7b47d13b68162a11ee65033bafa"
"inverse_q_analogs_extended_report/figures/fabius_variance_inverse.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG.","3248885f8f1655bc576b75de4883371e557e8e03cf2500cee6886aad4c9c5803","NOT_RETAINED"
"inverse_q_analogs_extended_report/figures/pochhammer_minus_one_critical.pdf","assets/experiments/extended/figures/pochhammer_minus_one_critical.pdf","migrate","vector-figure","Unique vector plot of the finite q-Pochhammer q=-1 critical geometry.","f50bac6c16021c9963a0ceaa6a4fa9287767411e9865d507dd8a8857a866d499","f50bac6c16021c9963a0ceaa6a4fa9287767411e9865d507dd8a8857a866d499"
"inverse_q_analogs_extended_report/figures/pochhammer_minus_one_critical.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG.","938a6cc8d9ba622c7951b9f0dccc0a926c7afc4aaa304acabf63e98c3d3196f8","NOT_RETAINED"
"inverse_q_analogs_extended_report/figures/pochhammer_n3_morse_saddle.pdf","assets/experiments/extended/figures/pochhammer_n3_morse_saddle.pdf","migrate","vector-figure","Unique vector rendering of the exceptional n=3 Morse saddle.","79b6da08c1ca6baeace5684997b08769dd181d6f0e0f74b7e209e45e3c1853cb","79b6da08c1ca6baeace5684997b08769dd181d6f0e0f74b7e209e45e3c1853cb"
"inverse_q_analogs_extended_report/figures/pochhammer_n3_morse_saddle.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG.","f71e61576308a86d385e48e5701bc43d2edb3e676e743837451a610f6151af99","NOT_RETAINED"
"inverse_q_analogs_extended_report/figures/qgamma_q0_regimes.pdf","assets/experiments/extended/figures/qgamma_q0_regimes.pdf","migrate","vector-figure","Unique vector plot of the q-gamma q-to-zero inverse regimes.","3399d6ed746b6f7cd7f9ee63f9d2d7a14911aee336541270c19a71d026da2f7f","3399d6ed746b6f7cd7f9ee63f9d2d7a14911aee336541270c19a71d026da2f7f"
"inverse_q_analogs_extended_report/figures/qgamma_q0_regimes.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG.","c967db494fe95242b6f998e6f1eb557e327998d6b566d3fced2761d87cbb14a1","NOT_RETAINED"
"inverse_q_analogs_extended_report/figures/radial_inverse_errors.pdf","assets/experiments/extended/figures/radial_inverse_errors.pdf","migrate","vector-figure","Unique vector residual plot for the radial inverse expansion.","f0b4bd23ed77174fdb523546d8322739a4ac1292a049623bf9ab3d0cb75d4b4d","f0b4bd23ed77174fdb523546d8322739a4ac1292a049623bf9ab3d0cb75d4b4d"
"inverse_q_analogs_extended_report/figures/radial_inverse_errors.png","","retire","raster-preview","Redundant raster preview of the retained vector PDF; no canonical document refers to the PNG.","652c03d4af4b7766954470b3d9ac6f78cb9e1409aa43c4f55a997e1ea921590a","NOT_RETAINED"
"inverse_q_analogs_extended_report/inverse_q_analogs_experiments.py","assets/experiments/extended/scripts/inverse_q_analogs_experiments.py","migrate","python-script","Unique extended experiment; after copying under scripts make the experiment root explicit and route its summary to output while leaving data and figures as sibling directories.","e91463111ea1ee9a14f4cd9ad1694ab3140976a72e192b2770aeffb3697abdb3","b364861fc9fa87bb36d50c5e768e58fb7682c4d99b358de3a0ce456d1b2bf6b1"
"inverse_q_analogs_extended_report/inverse_q_analogs_extended_report.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original.","6566a793e73dfbcc8b07ceb58b79974cd271b910181a34b0ef99401d376f46a8","NOT_RETAINED"
"inverse_q_analogs_extended_report/inverse_q_analogs_extended_report.tex","","retire","report-source","Its corrected regimes, certification arguments, and Fabius-Rvachev material are merged into the canonical chapters and concordance.","f284d28fe96821e030c8780cbdd7ca87bafd2940d5834c465ad84736675d6cfe","NOT_RETAINED"
"inverse_q_analogs_extended_report/numerical_results.tex","","retire","generated-latex-fragment","Report-only generated table fragment; the canonical volume does not input it and regeneration can leave it as an uncommitted transient.","0141cd880f09e1f1a50f1e03d67bf1e2c9869b3b376205f9939d2da2021a0bd3","NOT_RETAINED"
"inverse_q_analogs_extended_report/numerical_summary.txt","assets/experiments/extended/output/numerical_summary.txt","migrate","computational-log","Unique compact summary of the seven extended data groups and their 80-digit run.","026c9143fd82927384e6da0be3719547b4009f7c5f18e9334744b9b410537e4b","026c9143fd82927384e6da0be3719547b4009f7c5f18e9334744b9b410537e4b"
"inverse_q_analogs_extended_report/README.md","","retire","source-readme","Scope, commands, output descriptions, snapshot provenance, and status conventions are absorbed into canonical documentation.","4089a4c60ea7504fe30d87edf462bfca03ab377ead2b38184b9eb21c581ecad8","NOT_RETAINED"
"inverse_q_analogs_extended_report/requirements.txt","","retire","dependency-manifest","Replaced by assets/requirements.txt using the componentwise maximum dependency floors across all six experiments.","8dac674442c79948299060bfc851aea1c96a04dc0682435717d1eddc8a4aded7","NOT_RETAINED"
"inverse_q_analogs_extended_report/SHA256SUMS","","retire","checksum-ledger","Package-local paths become obsolete after migration; replace this verified historical ledger with a canonical post-migration ledger.","bf6f3cdabfb10de19688ae061ec57a688b8da51cc314acf94c01404aeb5c63d8","NOT_RETAINED"
"inverse_q_analogs_report/data/finite_critical_values.csv","assets/experiments/branch_geometry/data/finite_critical_values.csv","migrate","structured-data","Unique generated critical-point and critical-value table for finite products.","f7ceb5396648abf19ed59824fe123853f4c92f1b0300676322e2bb170d0e679b","f7ceb5396648abf19ed59824fe123853f4c92f1b0300676322e2bb170d0e679b"
"inverse_q_analogs_report/data/infinite_critical_asymptotics.csv","assets/experiments/branch_geometry/data/infinite_critical_asymptotics.csv","migrate","structured-data","Unique generated asymptotic table for infinite-product critical branches.","051b10a0eb13d092dccc984c421feb07012873bf47713c1aa702ef22cd17b66a","051b10a0eb13d092dccc984c421feb07012873bf47713c1aa702ef22cd17b66a"
"inverse_q_analogs_report/data/principal_inverse_derivative_signs.csv","assets/experiments/branch_geometry/data/principal_inverse_derivative_signs.csv","migrate","structured-data","Unique generated sign audit through derivative order eight for the principal inverse.","bad3597af50c13a94d58aa2d946b7599a64460c44beebb8bb45863525e85659f","bad3597af50c13a94d58aa2d946b7599a64460c44beebb8bb45863525e85659f"
"inverse_q_analogs_report/data/qbinomial_inverse_accuracy.csv","assets/experiments/branch_geometry/data/qbinomial_inverse_accuracy.csv","migrate","structured-data","Unique generated Gaussian inverse-accuracy table.","5ed52799e8154ca15a7406d5bdcb2bc34158433bda4793cf17e281bb57f134b5","5ed52799e8154ca15a7406d5bdcb2bc34158433bda4793cf17e281bb57f134b5"
"inverse_q_analogs_report/data/qgamma_minima.csv","assets/experiments/branch_geometry/data/qgamma_minima.csv","migrate","structured-data","Unique generated q-gamma minima and branch table.","f960faf9a20fe203e4ed5cf5ba35ad9eeeec0c5c11fc23c842192c8e593d14a6","f960faf9a20fe203e4ed5cf5ba35ad9eeeec0c5c11fc23c842192c8e593d14a6"
"inverse_q_analogs_report/data/secondary_discriminants.txt","assets/experiments/branch_geometry/data/secondary_discriminants.txt","migrate","computational-data","Unique exact secondary-discriminant audit; retain under data to preserve the program's established DATA contract.","62c389c591c3310423cdebe89c7814a62ef61d7b87a095392a52b130efd157e0","62c389c591c3310423cdebe89c7814a62ef61d7b87a095392a52b130efd157e0"
"inverse_q_analogs_report/data/summary.txt","assets/experiments/branch_geometry/data/summary.txt","migrate","computational-data","Unique high-precision n=5 collision summary; retain under data to preserve the program's established DATA contract.","e0507e42a02382d4c26f2ce5868dc51eacaf2f8a7940d9c2afd5ca19500f320f","e0507e42a02382d4c26f2ce5868dc51eacaf2f8a7940d9c2afd5ca19500f320f"
"inverse_q_analogs_report/figures/finite_pochhammer_collision.pdf","assets/experiments/branch_geometry/figures/finite_pochhammer_collision.pdf","migrate","vector-figure","Unique vector visualization of the first finite critical-value collision.","7e3866b31b59c7b855e1d572ff34be7aa2949638340507b4167d35af08f2699e","7e3866b31b59c7b855e1d572ff34be7aa2949638340507b4167d35af08f2699e"
"inverse_q_analogs_report/figures/infinite_critical_asymptotics.pdf","assets/experiments/branch_geometry/figures/infinite_critical_asymptotics.pdf","migrate","vector-figure","Unique vector visualization of infinite critical asymptotics.","2cce6b2487b5682a1a36d269e032a6cd12fcf04b344a85f48302ee26a41b498c","2cce6b2487b5682a1a36d269e032a6cd12fcf04b344a85f48302ee26a41b498c"
"inverse_q_analogs_report/figures/principal_inverse.pdf","assets/experiments/branch_geometry/figures/principal_inverse.pdf","migrate","vector-figure","Unique vector plot of the principal real inverse across several bases.","5d86a0697d97e5b2ff3d0f8b75deffb1503ef8fd456ae8b00b8440662ae73b65","5d86a0697d97e5b2ff3d0f8b75deffb1503ef8fd456ae8b00b8440662ae73b65"
"inverse_q_analogs_report/figures/qbinomial_inverse_accuracy.pdf","assets/experiments/branch_geometry/figures/qbinomial_inverse_accuracy.pdf","migrate","vector-figure","Unique vector diagnostic for Gaussian inverse accuracy.","0a3708512927241ce739d5de1ec6b0c34ef2d92d9d2f612a76d1c5c89e569db1","0a3708512927241ce739d5de1ec6b0c34ef2d92d9d2f612a76d1c5c89e569db1"
"inverse_q_analogs_report/figures/qgamma_inverse_branches.pdf","assets/experiments/branch_geometry/figures/qgamma_inverse_branches.pdf","migrate","vector-figure","Unique q-gamma branch rendering for this experiment; retain separately from the content-distinct functions-lane figure.","b4730a782fbc2ca917c0ca0ddc4df2498c3185083e8b97690eb466da28c8a4f9","b4730a782fbc2ca917c0ca0ddc4df2498c3185083e8b97690eb466da28c8a4f9"
"inverse_q_analogs_report/inverse_q_analogs_report.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original.","3d89f1a6870409f30dd51f54d2ae32163b8085e452d4f7627cb72bf8050e7e54","NOT_RETAINED"
"inverse_q_analogs_report/inverse_q_analogs_report.tex","","retire","report-source","Its discriminant, remote-branch, and certification material is merged into the canonical chapters and theorem concordance.","42528183ad2689fef9150ac41311fb0c87e6ebb2d07dd082c2246f67478406df","NOT_RETAINED"
"inverse_q_analogs_report/numerical_experiments.py","assets/experiments/branch_geometry/scripts/numerical_experiments.py","migrate","python-script","Unique branch-aware experiment; after copying under scripts change ROOT to the parent experiment so the existing DATA and FIGURES contracts remain sibling directories.","6df11aac242477f3a841cbacd81fcd1aa8fa16ea7a9bb1c2eb12b534799dba8b","9a9ef61513c63f31fcdb18c90501b881c759d886806d09dae9609883e90fda50"
"inverse_q_analogs_report/README.md","","retire","source-readme","Scope, deterministic execution instructions, dependency notes, and evidence-status conventions are consolidated into canonical documentation.","3a2ac04efa658422a4ef3caac6c3c7b030d41a9fe43ef8702e73eee6eeca5f3a","NOT_RETAINED"
"inverse_q_analogs_report/requirements.txt","","retire","dependency-manifest","Replaced by assets/requirements.txt using the componentwise maximum dependency floors across all six experiments.","2bff8e91a24c27aa6a18d40d356848cbe7495a87df66a0ed2e48e1606769db03","NOT_RETAINED"
"inverse_q_analogs_report/SHA256SUMS","","retire","checksum-ledger","Package-local paths become obsolete after migration; replace this verified historical ledger with a canonical post-migration ledger.","93dcd1eac2513e4158ce8d9d086ce69a07072d23cb42644c7627442c5369a371","NOT_RETAINED"
"inverse_q_analogs_report-2/inverse_q_analogs_experiments.py","assets/experiments/compact/scripts/inverse_q_analogs_experiments.py","migrate","python-script","Unique compact ten-experiment suite; after copying under scripts adjust the output path to the parent experiment's output directory.","301f4d1935d83b267696f8599dfa8771e755a2462cc5d0d67fe2ec22f785ac6d","5f56a3e0e54fa4e1e8b499f95ac9a25d0f67e5400e9cb22b008984600f589a00"
"inverse_q_analogs_report-2/inverse_q_analogs_report.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original.","455e11c21bfa27494f4547168137539d70ac8130b2c456fa56ddb6b4d73bb0c7","NOT_RETAINED"
"inverse_q_analogs_report-2/inverse_q_analogs_report.tex","","retire","report-source","Its independent synthesis, reciprocal regimes, and coefficient checks are deduplicated into the canonical volume and concordance.","b82e44b0cedeaf0cc167cba1dba5ff79b20953d0d1cf388c70398a6f26b2025c","NOT_RETAINED"
"inverse_q_analogs_report-2/numerical_results.txt","assets/experiments/compact/output/numerical_results.txt","migrate","computational-log","Unique 80-digit output of the compact symbolic and numerical cross-check suite.","5c6051cf8192a73fd099c40dfcd9336bc42d15284b85151d2064ef5565a95f1e","5c6051cf8192a73fd099c40dfcd9336bc42d15284b85151d2064ef5565a95f1e"
"inverse_q_analogs_report-2/README.md","","retire","source-readme","Its run contract, output behavior, and proof-versus-validation convention are absorbed into the canonical asset README.","3f5faa5ffaaa2f8a904a2764806fa8678ed40cc8a286c3ec937212669d3dc0d0","NOT_RETAINED"
"inverse_q_analogs_report-2/SHA256SUMS.txt","","retire","checksum-ledger","Package-local paths become obsolete after migration; replace this verified historical ledger with a canonical ledger after final destinations stabilize.","c0fc11252dae48ffc5394609b716a0e014d59d3db806e3c9cb48fa8114a9ecc4","NOT_RETAINED"
"q_pochhammer_q_binomial_expansions_report/MANIFEST.sha256","","retire","checksum-ledger","Package-local paths and the superseded report set become obsolete; replace this verified historical ledger after canonical migration.","5cf24ed3d7ace4bdbbf8c96ef7d2d960b002a7b5606ef38adf07eb68a09f85b3","NOT_RETAINED"
"q_pochhammer_q_binomial_expansions_report/numerical_results.txt","assets/experiments/forward/output/numerical_results.txt","migrate","computational-log","Unique captured stdout from the 80-digit forward-expansion and exact q=1 and q=-1 verification suite.","a2052f71be8ca67e6728c522377d34284dc03691cdc1376b0f5cf053ec5099eb","a2052f71be8ca67e6728c522377d34284dc03691cdc1376b0f5cf053ec5099eb"
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.aux","","retire","tex-build-byproduct","Ignored LaTeX auxiliary state; it is reproducible and has no evidentiary or source value.","UNTRACKED_TRANSIENT_ABSENT","NOT_RETAINED"
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.log","","retire","tex-build-byproduct","Ignored LaTeX build transcript for the superseded report; canonical rendering produces its own fresh log.","UNTRACKED_TRANSIENT_ABSENT","NOT_RETAINED"
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.out","","retire","tex-build-byproduct","Ignored hyperref auxiliary output for the superseded report; it is reproducible build state.","UNTRACKED_TRANSIENT_ABSENT","NOT_RETAINED"
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.pdf","","retire","report-pdf","Superseded narrative rendering; the single canonical volume replaces it and Git history preserves the original.","95b7c03e0356513c520b1c1ebcb11a1f2ff41f04bf8e3af796c07db7b114b419","NOT_RETAINED"
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.tex","","retire","report-source","Its forward expansion engine is integrated into the canonical finite, infinite, Gaussian, and q-special-function chapters and concordance.","26e1ee00f2a81a624a85dd82c2264ed508ca92edea13d704c38909acbdd01c92","NOT_RETAINED"
"q_pochhammer_q_binomial_expansions_report/q_analog_expansions_report.toc","","retire","tex-build-byproduct","Ignored LaTeX table-of-contents cache; it is reproducible and has no source or evidentiary value.","UNTRACKED_TRANSIENT_ABSENT","NOT_RETAINED"
"q_pochhammer_q_binomial_expansions_report/q_expansion_experiments.py","assets/experiments/forward/scripts/q_expansion_experiments.py","migrate","python-script","Unique exact and high-precision forward-expansion audit; it writes only stdout so moving under scripts needs no output-root rewrite.","4e92e128936ce3270a87688e008fa7f6332626e456abbb93976e3d94fd3e0559","4e92e128936ce3270a87688e008fa7f6332626e456abbb93976e3d94fd3e0559"
"q_pochhammer_q_binomial_expansions_report/README.md","","retire","source-readme","Scope, execution instructions, baseline provenance, and Lean crosswalk are absorbed into canonical documentation and the theorem concordance.","8c850373261cca83486469c715c8c0cd5d376105daf9afc1de683341e133dee9","NOT_RETAINED"
